AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
Trifolium pratense	93262	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.278761061946903	g/g
Trifolium pratense	93263	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93263	55	Leaf dry mass (single leaf)	Leaf dry mass	9.3	mg
Trifolium pratense	93264	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93264	55	Leaf dry mass (single leaf)	Leaf dry mass	9.4	mg
Trifolium pratense	93264	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.262569832402235	g/g
Trifolium pratense	93265	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93265	55	Leaf dry mass (single leaf)	Leaf dry mass	10.1	mg
Trifolium pratense	93265	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.231651376146789	g/g
Trifolium pratense	93266	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93266	55	Leaf dry mass (single leaf)	Leaf dry mass	10.9	mg
Trifolium pratense	93266	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.230932203389831	g/g
Trifolium pratense	93267	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93267	55	Leaf dry mass (single leaf)	Leaf dry mass	8.1	mg
Trifolium pratense	93267	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.253918495297806	g/g
Trifolium pratense	93268	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93268	55	Leaf dry mass (single leaf)	Leaf dry mass	9.6	mg
Trifolium pratense	93268	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.256	g/g
Trifolium pratense	93269	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93269	55	Leaf dry mass (single leaf)	Leaf dry mass	7.7	mg
Trifolium pratense	93269	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.296153846153846	g/g
Trifolium pratense	93270	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93270	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.284132841328413	g/g
Achillea millefolium	93447	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Trifolium pratense	93461	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Dactylis glomerata	93595	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	93612	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	93746	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	93937	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	93993	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	93994	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Dactylis glomerata	94039	42	Plant growth form	Plant growth form	herbaceous monocotyl	
Trifolium pratense	94053	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94074	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94182	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94198	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94214	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94230	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Achillea millefolium	94264	42	Plant growth form	Plant growth form	herbaceous dicotyl	
Dactylis glomerata	94694	55	Leaf dry mass (single leaf)	Leaf dry mass	65.0	mg
Trifolium pratense	94719	55	Leaf dry mass (single leaf)	Leaf dry mass	24.0	mg
Dactylis glomerata	94725	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.294	g/g
Dactylis glomerata	94725	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	28.1	mg/g
Dactylis glomerata	94725	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	452.0	mg/g
Dactylis glomerata	94808	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	3.17	g
Dactylis glomerata	94808	3106	Plant height vegetative	Plant height vegetative	0.526	m
Achillea millefolium	94939	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Achillea millefolium	94940	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Achillea millefolium	94947	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Dactylis glomerata	96309	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Dactylis glomerata	96310	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Dactylis glomerata	96311	42	Plant growth form	Shoot growth form, shoot architecture	Stem ascending to prostrate	
Dactylis glomerata	96312	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Trifolium pratense	99876	42	Plant growth form	Shoot growth form, shoot architecture	Stem ascending to prostrate	
Trifolium pratense	99877	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Trifolium pratense	99878	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Trifolium pratense	99879	42	Plant growth form	Shoot growth form, shoot architecture	Stem ascending to prostrate	
Trifolium pratense	99880	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Trifolium pratense	99881	42	Plant growth form	Shoot growth form, shoot architecture	Stem prostrate	
Trifolium pratense	99882	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
Achillea millefolium	155826	42	Plant growth form	Plant growth form	Herb	
Achillea millefolium	155826	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	19.3	mg/g
Achillea millefolium	155826	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	403.17	mg/g
Dactylis glomerata	155939	42	Plant growth form	Plant growth form	Grass	
Achillea millefolium	158098	3106	Plant height vegetative	Plant height vegetative	0.2927	m
Dactylis glomerata	158158	3106	Plant height vegetative	Plant height vegetative	0.4892	m
Trifolium pratense	158270	3106	Plant height vegetative	Plant height vegetative	0.249	m
Dactylis glomerata	158310	3106	Plant height vegetative	Plant height vegetative	0.55	m
Trifolium pratense	158381	3106	Plant height vegetative	Plant height vegetative	0.5	m
Dactylis glomerata	158424	3106	Plant height vegetative	Plant height vegetative	0.6	m
Achillea millefolium	170142	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	170142	3106	Plant height vegetative	Plant height vegetative	0.183333333333333	m
Achillea millefolium	172076	163	Leaf fresh mass	Leaf fresh mass	0.25	g
Achillea millefolium	172076	55	Leaf dry mass (single leaf)	Leaf dry mass	150.0	mg
Achillea millefolium	172076	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	17.1816170215607	mg/g
Achillea millefolium	172076	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	449.894332885742	mg/g
Achillea millefolium	1056348	3106	Plant height vegetative	Plant height vegetative	0.228	m
Achillea millefolium	172076	3106	Plant height vegetative	Plant height vegetative	0.26	m
Achillea millefolium	172077	163	Leaf fresh mass	Leaf fresh mass	0.19	g
Achillea millefolium	172077	55	Leaf dry mass (single leaf)	Leaf dry mass	70.0	mg
Achillea millefolium	172077	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.368421052631579	g/g
Achillea millefolium	172077	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.2947807312012	mg/g
Achillea millefolium	172077	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	439.179840087891	mg/g
Achillea millefolium	1056349	3106	Plant height vegetative	Plant height vegetative	0.198	m
Achillea millefolium	172077	3106	Plant height vegetative	Plant height vegetative	0.219	m
Achillea millefolium	172078	163	Leaf fresh mass	Leaf fresh mass	0.07	g
Achillea millefolium	172078	55	Leaf dry mass (single leaf)	Leaf dry mass	30.0	mg
Achillea millefolium	172078	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.428571428571428	g/g
Achillea millefolium	172078	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	436.050643920898	mg/g
Achillea millefolium	172078	3106	Plant height vegetative	Plant height vegetative	0.217	m
Achillea millefolium	1056350	3106	Plant height vegetative	Plant height vegetative	0.239	m
Achillea millefolium	172079	163	Leaf fresh mass	Leaf fresh mass	0.13	g
Achillea millefolium	172079	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	14.500697851181	mg/g
Achillea millefolium	172079	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	427.314949035645	mg/g
Achillea millefolium	172079	3106	Plant height vegetative	Plant height vegetative	0.188	m
Achillea millefolium	1056351	3106	Plant height vegetative	Plant height vegetative	0.208	m
Achillea millefolium	172080	163	Leaf fresh mass	Leaf fresh mass	0.18	g
Achillea millefolium	172080	55	Leaf dry mass (single leaf)	Leaf dry mass	50.0	mg
Achillea millefolium	172080	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.277777777777778	g/g
Achillea millefolium	172080	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.4992189407349	mg/g
Achillea millefolium	172080	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	422.137336730957	mg/g
Achillea millefolium	1056352	3106	Plant height vegetative	Plant height vegetative	0.153	m
Achillea millefolium	172080	3106	Plant height vegetative	Plant height vegetative	0.178	m
Trifolium pratense	172456	163	Leaf fresh mass	Leaf fresh mass	0.19	g
Trifolium pratense	172456	55	Leaf dry mass (single leaf)	Leaf dry mass	140.0	mg
Trifolium pratense	172456	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	32.7633666992188	mg/g
Trifolium pratense	172456	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	443.230934143066	mg/g
Trifolium pratense	1056728	3106	Plant height vegetative	Plant height vegetative	0.734	m
Trifolium pratense	172456	3106	Plant height vegetative	Plant height vegetative	0.75	m
Trifolium pratense	172457	163	Leaf fresh mass	Leaf fresh mass	0.5	g
Trifolium pratense	172457	55	Leaf dry mass (single leaf)	Leaf dry mass	120.0	mg
Trifolium pratense	172457	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.24	g/g
Trifolium pratense	172457	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	50.3408622741699	mg/g
Trifolium pratense	172457	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	473.896522521973	mg/g
Trifolium pratense	172457	3106	Plant height vegetative	Plant height vegetative	0.905	m
Trifolium pratense	1056729	3106	Plant height vegetative	Plant height vegetative	0.92	m
Trifolium pratense	172458	163	Leaf fresh mass	Leaf fresh mass	0.39	g
Trifolium pratense	172458	55	Leaf dry mass (single leaf)	Leaf dry mass	190.0	mg
Trifolium pratense	172458	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.487179487179487	g/g
Trifolium pratense	172458	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	40.7391881942749	mg/g
Trifolium pratense	172458	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	448.36971282959	mg/g
Trifolium pratense	172458	3106	Plant height vegetative	Plant height vegetative	0.744	m
Trifolium pratense	1056730	3106	Plant height vegetative	Plant height vegetative	0.776	m
Trifolium pratense	172459	163	Leaf fresh mass	Leaf fresh mass	0.66	g
Trifolium pratense	172459	55	Leaf dry mass (single leaf)	Leaf dry mass	220.0	mg
Trifolium pratense	172459	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.333333333333333	g/g
Trifolium pratense	172459	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	47.6370763778687	mg/g
Trifolium pratense	172459	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	468.262786865234	mg/g
Trifolium pratense	172459	3106	Plant height vegetative	Plant height vegetative	0.881	m
Trifolium pratense	1056731	3106	Plant height vegetative	Plant height vegetative	0.916	m
Trifolium pratense	172460	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.280701754385965	g/g
Trifolium pratense	172460	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	49.2118120193481	mg/g
Trifolium pratense	172460	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	460.701141357422	mg/g
Trifolium pratense	172460	3106	Plant height vegetative	Plant height vegetative	0.614	m
Trifolium pratense	1056732	3106	Plant height vegetative	Plant height vegetative	0.631	m
Achillea millefolium	172588	42	Plant growth form	Plant growth form	H	
Achillea millefolium	172588	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	22.8536298775178	mg/g
Achillea millefolium	172588	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	476.246253560479	mg/g
Achillea millefolium	172588	3106	Plant height vegetative	Plant height vegetative	0.15	m
Trifolium pratense	172654	42	Plant growth form	Plant growth form	H	
Trifolium pratense	172654	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	47.1706894852375	mg/g
Trifolium pratense	172654	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	523.042371091084	mg/g
Trifolium pratense	172654	3106	Plant height vegetative	Plant height vegetative	0.1	m
Achillea millefolium	172661	42	Plant growth form	Plant growth form	H	
Trifolium pratense	172727	42	Plant growth form	Plant growth form	H	
Dactylis glomerata	172801	42	Plant growth form	Plant growth form	G	
Dactylis glomerata	172801	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	24.3	mg/g
Dactylis glomerata	172801	3106	Plant height vegetative	Plant height vegetative	0.6	m
Dactylis glomerata	172997	42	Plant growth form	Plant growth form	G	
Achillea millefolium	1114275	3106	Plant height vegetative	Plant height vegetative	0.475	m
Achillea millefolium	1114276	3106	Plant height vegetative	Plant height vegetative	0.8	m
Achillea millefolium	173398	3106	Plant height vegetative	Plant height vegetative	0.316	m
Achillea millefolium	1114289	3106	Plant height vegetative	Plant height vegetative	0.225	m
Dactylis glomerata	1116554	3106	Plant height vegetative	Plant height vegetative	0.775	m
Dactylis glomerata	174602	3106	Plant height vegetative	Plant height vegetative	1.1	m
Dactylis glomerata	1116555	3106	Plant height vegetative	Plant height vegetative	0.45	m
Dactylis glomerata	174603	3106	Plant height vegetative	Plant height vegetative	0.133	m
Trifolium pratense	177928	3106	Plant height vegetative	Plant height vegetative	0.275	m
Trifolium pratense	1122506	3106	Plant height vegetative	Plant height vegetative	0.4	m
Trifolium pratense	1122507	3106	Plant height vegetative	Plant height vegetative	0.15	m
Trifolium pratense	1122508	3106	Plant height vegetative	Plant height vegetative	0.525	m
Trifolium pratense	1122509	3106	Plant height vegetative	Plant height vegetative	1.0	m
Achillea millefolium	178318	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.175	g/g
Achillea millefolium	1105576	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.1722	g/g
Achillea millefolium	1105577	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.18606	g/g
Achillea millefolium	1105578	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.15007	g/g
Dactylis glomerata	1108160	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.212	g/g
Dactylis glomerata	1108161	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.205	g/g
Trifolium pratense	181474	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.24226	g/g
Trifolium pratense	1113594	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.23034	g/g
Trifolium pratense	1113595	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.27518	g/g
Trifolium pratense	1113596	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.16791	g/g
Trifolium pratense	1113598	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.25333	g/g
Trifolium pratense	1113599	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.24438	g/g
Trifolium pratense	1113600	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.27207	g/g
Trifolium pratense	1113601	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.19547	g/g
Trifolium pratense	181477	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.19	g/g
Achillea millefolium	181746	55	Leaf dry mass (single leaf)	Leaf dry mass	15.4	mg
Achillea millefolium	1093279	55	Leaf dry mass (single leaf)	Leaf dry mass	28.59	mg
Achillea millefolium	1093278	55	Leaf dry mass (single leaf)	Leaf dry mass	39.37	mg
Achillea millefolium	1093280	55	Leaf dry mass (single leaf)	Leaf dry mass	20.63	mg
Achillea millefolium	181748	55	Leaf dry mass (single leaf)	Leaf dry mass	21.3	mg
Dactylis glomerata	183075	55	Leaf dry mass (single leaf)	Leaf dry mass	71.71276685	mg
Dactylis glomerata	183076	55	Leaf dry mass (single leaf)	Leaf dry mass	78.89628205	mg
Dactylis glomerata	1097022	55	Leaf dry mass (single leaf)	Leaf dry mass	98.88627384	mg
Trifolium pratense	1104654	55	Leaf dry mass (single leaf)	Leaf dry mass	36.3440525	mg
Trifolium pratense	1104656	55	Leaf dry mass (single leaf)	Leaf dry mass	39.91	mg
Trifolium pratense	1104657	55	Leaf dry mass (single leaf)	Leaf dry mass	40.63	mg
Trifolium pratense	1104658	55	Leaf dry mass (single leaf)	Leaf dry mass	59.79	mg
Trifolium pratense	1104655	55	Leaf dry mass (single leaf)	Leaf dry mass	26.7	mg
Trifolium pratense	185866	55	Leaf dry mass (single leaf)	Leaf dry mass	38.38	mg
Trifolium pratense	1104659	55	Leaf dry mass (single leaf)	Leaf dry mass	38.68	mg
Trifolium pratense	1104660	55	Leaf dry mass (single leaf)	Leaf dry mass	54.93	mg
Trifolium pratense	1104661	55	Leaf dry mass (single leaf)	Leaf dry mass	27.64	mg
Trifolium pratense	185867	55	Leaf dry mass (single leaf)	Leaf dry mass	15.70170778	mg
Achillea millefolium	206874	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	24.8	mm2 mg-1
Achillea millefolium	206883	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	21.4	mm2 mg-1
Dactylis glomerata	208531	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	18.3	mm2 mg-1
Trifolium pratense	212287	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	21.9	mm2 mg-1
Achillea millefolium	285407	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285408	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285409	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285410	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285411	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285412	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285413	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285414	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285415	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285416	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285417	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285418	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285419	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285421	42	Plant growth form	Plant growth form	herb	
Achillea millefolium	285431	42	Plant growth form	Plant growth form	herb	
Dactylis glomerata	296007	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296008	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296009	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296010	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296011	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296012	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296013	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296014	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	296015	42	Plant growth form	Plant growth form	grass	
Dactylis glomerata	676286	42	Plant growth form	Plant growth form	grass	
