Original name,Entire name,OSM Tags,Nominatim URL,lat,lon,bbox,area
Bulgaria,Republic of Bulgaria,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Bulgaria&format=json&limit=1,42.6073975,25.4856617,"[41.2353678, 44.2162232, 22.3571459, 28.8875409]",19.466163199883027
Buryatiya,Republic of Buryatia (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Republic+of+Buryatia+Russia&format=json&limit=1,52.7182426,109.492143,"[49.9697792, 57.24988, 98.6299185, 116.9217303]",133.16623371862937
California,State of California (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=California&format=json&limit=1,36.7014631,-118.755997,"[32.5295236, 42.009499, -124.482003, -114.1307816]",98.12932423195356
Canary Is.,Canary Islands (Spain),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Spain&state=Canary+Islands&format=json&limit=1,28.2935785,-16.6214471,"[27.6377389, 29.4160647, -18.1611809, -13.3320145]",8.58783120161313
Cape Provinces,Cape Provinces (South Africa),place=region,https://nominatim.openstreetmap.org/search?q=Cape+Provinces+South+Africa&format=json&limit=1,-29.630280,23.436981,"[-34.697350, -24.563210, 14.658568, 32.215394]",177.885
Central European Russia,Central European Russia,place=region,https://nominatim.openstreetmap.org/search?q=Central+European+Russia&format=json&limit=1,61.503938,57.058553,"[53.831649, 69.176226, 40.258251, 73.858855]",515.614
Chad,Republic of Chad,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Chad&format=json&limit=1,15.6134137,19.0156172,"[7.44107, 23.4507957, 13.47348, 24.0]",168.526697775564
Chile Central,Central Chile,place=region,https://nominatim.openstreetmap.org/search?q=Central+Chile&format=json&limit=1,-34.608588,-71.999416,"[-40.169798, -29.047378, -72.814374, -71.184458]",18.132
Chile North,Northern Chile,place=region,https://nominatim.openstreetmap.org/search?q=Northern+Chile&format=json&limit=1,-26.023556,-70.484656,"[-34.040519, -18.006594, -71.18778, -69.781532]",22.540
Chile South,Southern Chile,place=region,https://nominatim.openstreetmap.org/search?q=Southern+Chile&format=json&limit=1,-65.9,-52.466,"[-56.137386, -33.568710, -75.670205, -71.363564]",738.437
China North-Central,North-Central China,place=region,https://nominatim.openstreetmap.org/search?q=North-Central+China&format=json&limit=1,43.902709,109.173752,"[34.282698, 53.522719, 94.496018, 123.851486]",564.887
China South-Central,South-Central China,place=region,https://nominatim.openstreetmap.org/search?q=South-Central+China&format=json&limit=1,27.287493,110.931803,"[18.197064, 36.377921, 104.672375, 117.191232]",227.679
Chita,Zabaykalsky Krai (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Zabaykalsky+Krai+Russia&format=json&limit=1,52.248521,115.956325,"[49.1542, 58.4373932, 107.7342132, 122.1458196]",133.78572653355644
Colombia,Republic of Colombia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Colombia&format=json&limit=1,4.099917,-72.9088133,"[-4.2294028, 16.0495518, -82.1243611, -66.8511118]",309.72552914918185
Colorado,State of Colorado (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Colorado&format=json&limit=1,38.7251776,-105.607716,"[36.9925245, 41.0034002, -109.0601879, -102.041585]",28.150743819559548
Connecticut,State of Connecticut (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Connecticut&format=json&limit=1,41.6500201,-72.7342163,"[40.950983, 42.0505827, -73.727811, -71.787239]",2.133852389028401
Corse,Corsica (France),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=France&state=Corsica&format=json&limit=1,42.1880896,9.0684138,"[41.333191, 43.0277079, 8.534717, 9.5600125]",1.7373805522439512
Cuba,Republic of Cuba,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Cuba&format=json&limit=1,23.0131338,-80.8328748,"[19.6275294, 23.4816972, -85.1679702, -73.9190004]",43.35541718633242
Cyprus,Republic of Cyprus,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Cyprus&format=json&limit=1,34.9823018,33.1451285,"[34.4383706, 35.913252, 32.0227581, 34.8553182]",4.177690205872146
Czechia-Slovakia,Czech Republic and Slovakia,place=region,https://nominatim.openstreetmap.org/search?q=Czech+Republic+and+Slovakia&format=json&limit=1,49.408048,17.127141,"[47.797862, 51.018234, 11.852035, 22.402247]",33.981
DR Congo,Democratic Republic of the Congo,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Democratic+Republic+of+the+Congo&format=json&limit=1,-2.9814344,23.8222636,"[-13.459035, 5.3920026, 12.039074, 31.3056758]",363.19543495602767
Delaware,State of Delaware (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Delaware&format=json&limit=1,38.6920451,-75.4013315,"[38.4511785, 39.8395147, -75.7890215, -74.9849355]",1.1163417017132011
Denmark,Kingdom of Denmark,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Denmark&format=json&limit=1,55.670249,10.3333283,"[54.4516667, 57.9524297, 7.7153255, 15.5530641]",27.43806529455185
District of Columbia,District of Columbia (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=District+of+Columbia&format=json&limit=1,38.8938474,-76.9880428,"[38.7916303, 38.995968, -77.1197949, -76.909366]",0.042998557439528545
Dominican Republic,Dominican Republic,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Dominican+Republic&format=json&limit=1,19.0974031,-70.3028026,"[17.2701708, 21.2928771, -72.0696319, -68.1101463]",15.927847667879309
East Aegean Is.,East Aegean Islands (Greece),place=island_group,https://nominatim.openstreetmap.org/search?q=East+Aegean+Islands+Greece&format=json&limit=1,38.835393,25.983494,"[37.484037, 40.186748, 24.740432, 27.226556]",6.717
East European Russia,Eastern European Russia,place=region,https://nominatim.openstreetmap.org/search?q=East+European+Russia&format=json&limit=1,34.410,66.5040,"[41.150437, 70.038143, 27.669852, 62.969947]",95.282
Ecuador,Republic of Ecuador,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Ecuador&format=json&limit=1,-1.3397668,-79.3666965,"[-5.0159314, 1.8835964, -92.2072392, -75.192504]",117.3936385220386
Egypt,Arab Republic of Egypt,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Egypt&format=json&limit=1,26.2540493,29.2675469,"[21.9936736, 31.8330854, 24.6499112, 37.1153517]",122.65260234789791
Ethiopia,Federal Democratic Republic of Ethiopia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Ethiopia&format=json&limit=1,10.2116702,38.6521203,"[3.397448, 14.8943383, 32.9975838, 47.9823797]",172.2785546301898
Finland,Republic of Finland,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Finland&format=json&limit=1,63.2467777,25.9209164,"[59.4541578, 70.092293, 19.0832, 31.5867071]",133.01399900395992
Florida,State of Florida (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Florida&format=json&limit=1,27.7567667,-81.4639835,"[24.396308, 31.000762, -87.634896, -79.974306]",50.59401426786
France,Metropolitan France,"place=region",https://nominatim.openstreetmap.org/search?q=Metropolitan+France&format=json&limit=1,46.8192742,1.8746201,"[41.2611155, 51.3055721, -5.4517733, 9.8282225]",153.465
Georgia,State of Georgia (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Georgia&format=json&limit=1,32.3293809,-83.1137366,"[30.3556558, 35.0006769, -85.605165, -80.751429]", 22.545706133829594
Germany,Federal Republic of Germany,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Germany&format=json&limit=1,51.1638175,10.4478313,"[47.2701114, 55.099161, 5.8663153, 15.0419309]",71.83634964293381
Great Britain,Great Britain (United Kingdom),place=region,https://nominatim.openstreetmap.org/search?q=Great+Britain&format=json&limit=1,54.3151594,-1.9181532,"[49.9586992, 58.672078, -6.2278849, 1.7632199]",69.62952315289826
Greece,Hellenic Republic (Greece),"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Greece&format=json&limit=1,38.9953683,21.9877132,"[34.7188863, 41.7488889, 19.1127535, 29.68381]",74.31455467974686
Guatemala,Republic of Guatemala,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Guatemala&format=json&limit=1,15.5855545,-90.345759,"[13.563429, 17.8165947, -92.3648725, -88.2134425]",17.65671968195102
Haiti,Republic of Haiti,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Haiti&format=json&limit=1,19.1399952,-72.3570972,"[17.820859, 20.2911852, -75.2384618, -71.6217461]",8.93446755166135
Hawaii,State of Hawaii (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Hawaii&format=json&limit=1,19.5938015,-155.4283701,"[18.86546, 28.517269, -178.443593, -154.755792]",228.63013088200879
Hungary,Hungary,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Hungary&format=json&limit=1,47.1817585,19.5060937,"[45.737128, 48.585257, 16.1138866, 22.8977094]",19.3212024475412
Idaho,State of Idaho (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Idaho&format=json&limit=1,43.6447642,-114.015407,"[41.9888339, 49.0008447, -117.2430324, -111.043564]",43.47073937505872
Illinois,State of Illinois (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Illinois&format=json&limit=1,40.0796606,-89.4337288,"[36.9701313, 42.5083736, -91.5130518, -87.0199244]",24.884028225969054
Indiana,State of Indiana (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Indiana&format=json&limit=1,40.3270127,-86.1746933,"[37.7716793, 41.761368, -88.0972043, -84.784609]",13.216224036083085
Inner Mongolia,Inner Mongolia Autonomous Region (China),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Inner+Mongolia+China&format=json&limit=1,43.2443242,114.3251664,"[37.4067101, 53.3340564, 97.2694839, 125.3272934]",446.88644832593
Iowa,State of Iowa (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Iowa&format=json&limit=1,41.9216734,-93.3122705,"[40.3756007, 43.5011589, -96.6397162, -90.140061]",20.31505060753262
Iran,Islamic Republic of Iran,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Iran&format=json&limit=1,32.6475314,54.5643516,"[24.8353084, 39.7824624, 44.0318908, 63.3332704]",288.50069329365846
Iraq,Republic of Iraq,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Iraq&format=json&limit=1,33.0955793,44.1749775,"[29.0585661, 37.3806687, 38.7926388, 49.1067706]",85.83526306952268
Ireland,Republic of Ireland,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Ireland&format=json&limit=1,52.865196,-7.9794599,"[51.222, 55.636, -11.0133788, -5.6582363]",23.637598995000005
Irkutsk,Irkutsk Oblast (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Irkutsk+Russia&format=json&limit=1,52.2891225,104.279829,"[52.2092298, 52.4216704, 104.0589181, 104.4484665]",0.08275589582503654
Italy,Italian Republic,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Italy&format=json&limit=1,42.6384261,12.674297,"[35.2889616, 47.0921485, 6.6272658, 18.7844746]",143.49380764872473
Japan,Japan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Japan&format=json&limit=1,36.5748441,139.2394179,"[20.2145811, 45.7112046, 122.7141754, 154.205541]",802.9234922040519
Juan Fernández Is.,Juan Fernández Islands (Chile),place=island_group,https://nominatim.openstreetmap.org/search?q=Juan+Fernandez+Islands+Chile&format=json&limit=1,-33.6444501,-78.8262238,"[-33.8163081, -33.6054875, -80.8377591, -78.7696982]",0.4359898397745374
Kansas,State of Kansas (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Kansas&format=json&limit=1,38.27312,-98.5821872,"[36.9930715, 40.0032291, -102.0517919, -94.5882049]",22.466573131311208
Kazakhstan,Republic of Kazakhstan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Kazakhstan&format=json&limit=1,48.1012954,66.7780818,"[40.5686902, 55.4421701, 46.4932179, 87.3156336]",607.1713793833944
Kentucky,State of Kentucky (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Kentucky&format=json&limit=1,37.5726028,-85.1551411,"[36.497118, 39.1477997, -89.571509, -81.9645413]",20.163650074881122
Kenya,Republic of Kenya,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Kenya&format=json&limit=1,1.4419683,38.4313975,"[-4.8995204, 4.62, 33.9096888, 41.9067502]",76.12818913735256
Khabarovsk,Khabarovsk Krai (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Khabarovsk+Krai+Russia&format=json&limit=1,51.6312684,136.121524,"[46.6388444, 62.5317458, 130.3867416, 147.2167891]",267.4782854748166
Kirgizstan,Kyrgyz Republic (Kyrgyzstan),"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Kyrgyzstan&format=json&limit=1,41.5089324,74.724091,"[39.1727382, 43.2669041, 69.2649523, 80.2295793]",44.891001969619275
Korea,Korean Peninsula,place=region,https://nominatim.openstreetmap.org/search?q=Korean+Peninsula&format=json&limit=1,36.9906346,128.11964,"[34.2922746, 39.6888455, 124.6501561, 129.5847177]",26.629711534817414
Krasnoyarsk,Krasnoyarsk Krai (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Krasnoyarsk+Krai+Russia&format=json&limit=1,63.3233807,97.0979974,"[51.7722574, 81.4741807, 74.9868506, 114.7396289]",1180.7339720285047
Kriti,Crete (Greece),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Crete+Greece&format=json&limit=1,35.3084952,24.4633423,"[34.9212109, 35.6957793, 23.5144812, 26.3189698]",2.172268247720241
Krym,Crimea (Disputed),boundary=administrative,https://nominatim.openstreetmap.org/search?q=Crimea&format=json&limit=1,45.2835044,34.2008188,"[44.3864121, 46.1805878, 32.4797502, 36.6470475]",7.476863550335598
Kuril Is.,Kuril Islands,place=island_group,https://nominatim.openstreetmap.org/search?q=Kuril+Islands&format=json&limit=1,50.3840378,155.8322143,"[43.3390729, 50.9230537, 145.3986615, 156.513631]",84.2957152805856
Lebanon-Syria,Lebanon and Syria,place=region,https://nominatim.openstreetmap.org/search?q=Lebanon+Syria&format=json&limit=1,34.796,38.7363,"[32.278750, 37.314628, 35.077942, 42.394726]",36.848
Libya,State of Libya,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Libya&format=json&limit=1,26.8234472,18.1236723,"[19.4999907, 33.3545898, 9.391081, 25.3770629]",221.47937044435625
Louisiana,State of Louisiana (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Louisiana&format=json&limit=1,30.8703881,-92.007126,"[28.8542892, 33.0195943, -94.0431869, -88.758331]",22.01303723303508
Madeira,Autonomous Region of Madeira (Portugal),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Madeira+Portugal&format=json&limit=1,32.7517501,-16.9817487,"[30.0287836, 33.1281603, -17.2659253, -15.8536718]",4.377105592393441
Maine,State of Maine (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Maine&format=json&limit=1,45.709097,-68.8590201,"[42.9222206, 47.4598397, -71.0841694, -66.8854053]",19.05239217655427
Malawi,Republic of Malawi,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Malawi&format=json&limit=1,-13.2687204,33.9301963,"[-17.1296031, -9.368301, 32.6718589, 35.9185731]",25.198729738559873
Manchuria,Manchuria (Northeast China),place=region,https://nominatim.openstreetmap.org/search?q=Manchuria+China&format=json&limit=1,45.965277,126.756667,"[38.3719142, 53.5608154, 115.5203698, 134.7754563]",292.4636064459539
Manitoba,Province of Manitoba (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Manitoba&format=json&limit=1,55.001251,-97.001038,"[48.9988611, 59.9995106, -102.0075806, -88.9865273]",143.24004347411827
Maryland,State of Maryland (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Maryland&format=json&limit=1,39.5162401,-76.9382069,"[37.8865288, 39.7230286, -79.4873055, -74.9852049]",8.268106851479883
Massachusetts,State of Massachusetts (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Massachusetts&format=json&limit=1,42.3788774,-72.032366,"[41.1888589, 42.8867783, -73.5082102, -69.8601042]",6.19418995065641
Mexico Central,Central Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Central+Mexico&format=json&limit=1,21.719038,-101.985413,"[18.888322, 24.549754, -107.990349, -95.980477]",67.996
Mexico Gulf,Gulf Region of Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Gulf+of+Mexico&format=json&limit=1,25.2834459,-89.9066163,"[18.096294, 30.659626, -97.716802, -80.866027]",211.811
Mexico Northeast,Northeast Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Northeast+Mexico&format=json&limit=1,26.001873,-100.839783,"[21.860008, 30.143738, -104.529689, -97.149877]",8.283730
Mexico Northwest,Northwest Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Northwest+Mexico&format=json&limit=1,35.1408369,-107.8164843,"[20.631281, 32.471340, -116.878321, -103.870509]",6.895017779968576e-06
Mexico Southeast,Southeast Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Southeast+Mexico&format=json&limit=1,17.940673,-92.928127,"[14.347992, 21.533353, -98.992580, -86.863674]",87.198
Mexico Southwest,Southwest Mexico,place=region,https://nominatim.openstreetmap.org/search?q=Southwest+Mexico&format=json&limit=1,17.388,-101.849,"[14.475679, 20.301911, -105.804103, -97.893947]",46.112
Michigan,State of Michigan (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Michigan&format=json&limit=1,43.6211955,-84.6824346,"[41.6961278, 48.306063, -90.4186202, -82.1228056]",54.83479693721394
Minnesota,State of Minnesota (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Minnesota&format=json&limit=1,45.9896587,-94.6113288,"[43.4994288, 49.3844722, -97.2392619, -89.483385]",45.64367216155749
Mississippi,State of Mississippi (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Mississippi&format=json&limit=1,32.9715285,-89.7348497,"[30.1436769, 34.9960168, -91.655009, -88.0977945]",17.260813851208553
Missouri,State of Missouri (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Missouri&format=json&limit=1,38.7604815,-92.5617875,"[35.9957227, 40.6136347, -95.7741441, -89.098843]",30.825953053303174
Mongolia,Mongolia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Mongolia&format=json&limit=1,46.8250388,103.8499736,"[41.5800276, 52.1496, 87.7345852, 119.9322079]",340.3151042355334
Montana,State of Montana (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Montana&format=json&limit=1,47.3752671,-109.638757,"[44.357915, 49.0011094, -116.0492317, -104.039563]",55.76322645369529
Morocco,Kingdom of Morocco,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Morocco&format=json&limit=1,31.1728205,-7.3362482,"[21.333462, 36.0021392, -17.2448353, -0.998429]",238.31328967474633
NW. Balkan Pen.,Northwestern Balkan Peninsula,place=region,https://nominatim.openstreetmap.org/search?q=Northwestern+Balkan+Peninsula&format=json&limit=1,43.575574,17.424250,"[40.800861, 46.350286, 13.710871, 21.137628]",41.185
Nebraska,State of Nebraska (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Nebraska&format=json&limit=1,41.7370229,-99.5873816,"[39.9999776, 43.0014799, -104.0533724, -95.3080545]",26.249091791081167
Netherlands,European Netherlands,"place=region",https://nominatim.openstreetmap.org/search?q=European+Netherlands&format=json&limit=1,52.2476498,5.5412468,"[50.7503658, 53.744395, 3.0801610, 7.2274985]",12.416
Nevada,State of Nevada (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Nevada&format=json&limit=1,39.5158825,-116.853722,"[35.0018894, 42.00038, -120.0065184, -114.0402955]",41.75455488315476
New Brunswick,Province of New Brunswick (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=New+Brunswick&format=json&limit=1,46.500283,-66.750183,"[44.2836704, 48.2206848, -69.0534663, -63.328871]",22.537814130272324
New Hampshire,State of New Hampshire (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=New+Hampshire&format=json&limit=1,43.4849133,-71.6553992,"[42.6972286, 45.3057789, -72.5572359, -70.5613593]",5.206344503692945
New Jersey,State of New Jersey (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=New+Jersey&format=json&limit=1,40.0757384,-74.4041622,"[38.7911303, 41.3574523, -75.563386, -73.893628]",4.285136690075967
New Mexico,State of New Mexico (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=New+Mexico&format=json&limit=1,34.5802074,-105.996047,"[31.3322006, 37.0001788, -109.0502229, -103.0022266]",34.27991118208063
New South Wales,State of New South Wales (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=New+South+Wales&format=json&limit=1,-31.8759835,147.2869493,"[-37.5280139, -28.1415262, 140.9992723, 159.3390311]",172.1459203971667
New York,State of New York (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=New+York&format=json&limit=1,43.1561681,-75.8449946,"[40.476578, 45.0158611, -79.7619758, -71.790972]",36.182642839375795
New Zealand North,North Island (New Zealand),place=island,https://nominatim.openstreetmap.org/search?q=North+Island+New+Zealand&format=json&limit=1,-38.0035304,175.957821,"[-41.6137504, -34.3933949, 172.6430233, 178.5505013]",42.654091268429006
