TRY Data Explorer Output	 2025-4-15
Species Trait Table
Specieslist: 909, 54991, 16700, 27988, 5512, 41658, 7173, 26336, 5522, 14244, 18628, 9768, 
Trait	TraitID	.Achillea millefolium.	.Trifolium pratense.	.Dactylis glomerata.	.Hedera helix.	.Asclepias syriaca.	.Phragmites australis.	.Bellis perennis.	.Glechoma hederacea.	.Asimina triloba.	.Convolvulus arvensis.	.Diospyros virginiana.	.Caltha palustris.	
Leaf structural dry matter per leaf volume	115	1	1	0	0	0	0	0	0	0	0	0	0	
Leaf sugar content per leaf dry mass	506	11	0	0	0	0	1	0	0	0	0	0	0	
Leaf surface pattern type	979	4	0	0	0	0	20	0	0	0	14	0	0	
Leaf surface waxiness	980	2	0	0	0	0	10	0	0	0	7	0	0	
Leaf texture (sclerophylly, physical strength, toughness)	2	13	14	22	12	1	34	6	7	81	23	57	3	
Leaf thickness	46	389	100	29	60	3	20	27	45	4	31	6	11	
Leaf transpiration rate per leaf area	111	8	8	8	0	0	5	8	7	0	0	0	0	
Leaf type	43	60	36	97	25	5	64	3	7	8	18	11	26	
Leaf vein density	740	170	1	0	0	1	0	0	0	1	0	0	0	
Leaf venation type	2813	1	0	0	0	0	0	0	0	0	0	0	0	
Leaf water & osmotic potential: soil volumetric water content at leaf turgor loss point	3089	1	1	0	0	1	0	0	0	0	0	0	0	
Leaf water & osmotic potential: soil water potential at leaf turgor loss point	3088	1	1	0	0	1	0	0	0	0	0	0	0	
Leaf water content per leaf dry mass (not saturated)	3120	104	152	246	450	148	33	0	2	240	18	166	9	
Leaf width	145	207	71	107	22	0	6	32	30	0	19	0	7	
Leaflet number per leaf	759	5	7	6	2	2	5	1	2	5	1	4	3	
Litter carbon (C) content per litter dry mass	72	2	2	1	0	0	8	0	0	0	0	0	2	
Litter cellulose content per litter dry mass	76	3	3	0	0	0	0	0	0	0	0	0	3	
Litter decomposition rate	39	7	3	7	8	0	3	0	0	0	0	0	4	
Litter lignin content per litter dry mass	73	2	2	1	0	0	0	0	0	0	0	0	2	
Litter nitrogen (N) content per litter dry mass	70	4	3	2	1	0	11	0	0	0	0	0	4	
Litter tannin content per litter dry mass	74	2	0	0	0	0	0	0	0	0	0	0	0	
Mycorrhiza status and microbial interactions	3370	1	0	0	0	0	1	0	0	0	0	0	0	
Mycorrhiza type	7	158	92	158	40	17	78	27	42	4	25	4	73	
Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae	1433	23	11	16	2	0	9	1	5	0	3	0	12	
Mycorrhizal infection intensity	1030	24	12	17	3	0	11	2	6	0	4	0	14	
Photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)	186	6	4	4	0	0	0	0	0	0	0	0	0	
Photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)	185	4	4	4	0	0	0	0	0	0	0	0	0	
Photosynthesis drawdown of CO2 concentration from ambient airspace to intercellular airspace	3126	5	0	0	1	2	1	0	0	0	3	0	0	
Photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model)	269	5	3	4	0	0	0	0	0	0	0	0	0	
Photosynthesis electron transport capacity (Jmax) per leaf dry mass (Farquhar model)	270	2	2	2	0	0	0	0	0	0	0	0	0	
Photosynthesis net assimilation rate per leaf area (NAR)	784	10	3	9	1	0	0	1	1	0	1	0	0	
Photosynthesis pathway	22	101	50	132	29	9	73	9	14	3	18	11	39	
Photosynthesis rate per leaf area	53	53	16	34	1	13	10	8	7	0	4	0	0	
Photosynthesis rate per leaf dry mass	40	44	6	25	0	11	3	0	0	0	4	0	1	
Photosynthesis rate per stomatal conductance	3128	2	2	0	0	2	0	0	0	0	0	0	0	
Photosynthesis: intercellular CO2 concentration	49	18	8	8	1	0	7	8	7	0	1	0	0	
Plant biomass and allometry: Belowground plant organ mass fraction (fraction of belowground plant or	2773	2	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Fine root dry mass per plant	473	5	9	36	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Fine root length per plant	2026	5	5	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Leaf dry mass per plant	129	139	18	160	11	5	4	53	7	0	7	0	0	
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)	110	67	16	114	20	5	4	9	8	0	7	0	0	
Plant biomass and allometry: Leaf dry mass production rate per plant	3040	5	5	5	0	0	0	3	5	0	0	0	0	
Plant biomass and allometry: Leaf fresh mass per plant	3406	71	0	89	0	0	0	43	0	0	0	0	0	
Plant biomass and allometry: Leaf number production rate per plant	3036	5	5	5	0	0	0	3	5	0	0	0	0	
Plant biomass and allometry: Leaves per plant (emergent, mature, senescent)	1032	155	30	92	0	111	0	44	0	0	0	0	0	
Plant biomass and allometry: number of inflorescences per plant	1031	21	61	0	0	0	0	24	0	0	0	0	7	
Plant biomass and allometry: Plant dry mass	700	101	12	159	15	0	4	57	9	0	7	0	0	
Plant biomass and allometry: Plant dry mass per plant fresh mass	119	1	1	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Plant dry mass per plant volume	117	1	1	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Plant surface area per plant dry mass of all green parts	776	5	5	5	0	0	0	5	5	0	0	0	0	
Plant biomass and allometry: Reproductive dry mass per plant	130	9	454	8	0	5	0	0	0	0	1	0	0	
Plant biomass and allometry: Root dry mass per plant	363	107	17	163	11	0	4	61	14	0	6	0	0	
Plant biomass and allometry: Root fresh mass per plant	3405	77	0	94	0	0	0	45	0	0	0	0	0	
Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)	470	23	3	57	16	0	4	4	2	0	6	0	0	
Plant biomass and allometry: Root surface area per plant	3032	5	5	5	0	0	0	4	5	0	0	0	0	
Plant biomass and allometry: Root volume per plant	3408	75	0	95	0	0	0	46	0	0	0	0	0	
Plant biomass and allometry: Seed number per plant	131	13	3	3	0	1	1	2	0	0	9	0	24	
Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	403	233	1011	293	0	0	0	77	12	0	1	1	0	
Plant biomass and allometry: Shoot nitrogen (N) content per plant	408	6	4	5	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Stem dry mass per plant	128	36	22	61	12	15	4	4	2	0	7	0	1	
Plant biomass and allometry: Stem dry mass per plant dry mass	136	23	3	44	16	0	4	4	2	0	6	0	0	
Plant biomass and allometry: Supportive structure (stem, twig, leaf petiole, leaf sheeth) dry mass p	3059	27	0	0	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Wood dry mass per plant dry mass	478	5	5	0	0	5	0	0	0	0	0	0	0	
Plant clonal growth form	341	14	7	13	2	5	35	4	11	0	24	0	9	
Plant containing salt glands	1023	1	0	0	0	0	1	0	0	0	0	0	0	
Plant defence mechanisms: chemical	346	4	4	3	4	0	1	4	5	1	0	1	5	
Plant defence mechanisms: physical	345	1	2	1	4	0	2	2	2	0	1	0	4	
Plant diameter of leaf rosette	1025	67	0	0	0	0	0	87	0	0	0	0	0	
Plant fresh mass	3407	77	0	95	0	0	0	45	0	0	0	0	0	
Plant functional type (PFT)	197	37	28	34	7	18	16	2	5	0	19	0	18	
Plant growth form	42	1301	1060	1002	713	230	610	177	84	286	233	215	134	
Plant growth form detailed consolidated	3401	2	0	2	1	1	1	0	0	1	1	2	1	
Plant growth form simple consolidated	3400	2	1	2	1	1	2	1	1	1	1	2	1	
Plant growth rate	587	4	2	1	1	1	1	0	0	2	1	2	1	
Plant growth rate relative (plant relative growth rate, RGR)	77	18	8	21	14	1	0	6	6	0	4	0	0	
Plant height	18	1	1	4	1	1	1	1	1	0	1	0	1	
Plant height generative	3107	242	239	211	10	134	7	33	4	0	12	0	32	
Plant height to plant dry mass ratio	3010	27	3	3	0	0	0	0	0	0	0	0	0	
Plant height vegetative	3106	715	520	1001	46	142	129	231	146	24	81	21	23	
Plant height versus plant width relationship	1016	1	1	1	1	0	2	1	1	0	1	0	2	
Plant height: erectness ratio of not elongated to elongated height	3039	5	5	5	0	0	0	4	5	0	0	0	0	
Plant human usage types	604	26	13	13	31	0	15	0	0	22	0	22	12	
Plant life form (Raunkiaer life form)	343	31	60	96	143	9	31	16	19	19	26	6	16	
Plant lifespan (longevity)	59	57	34	47	18	20	76	16	21	4	52	5	30	
Plant mating system	347	10	3	5	2	5	2	3	6	0	6	0	2	
Plant moisture use type	599	2	1	1	1	0	1	0	0	1	0	1	1	
Plant mono/poly carpic	1029	1	1	1	1	0	2	1	1	0	1	0	2	
Plant morphological adaptations: seed or dispersal unit metamorphoses	813	6	5	8	5	2	5	5	5	0	5	0	5	
Plant morphological adaptations: shoot metamorphoses	817	5	4	2	4	0	4	2	6	0	5	0	3	
Plant morphological adaptations: storage organs	816	9	9	11	1	1	18	5	10	0	9	0	8	
Plant nitrogen(N) fixation capacity	8	57	26	39	19	9	19	6	8	5	10	6	15	
Plant number of leaves	437	29	62	6	0	0	0	24	0	0	0	0	7	
Plant number of offspring shoots per parent shoot per year	361	17	6	12	1	5	34	4	11	0	23	0	9	
Plant nutrition mode (heterotrophy)	201	8	5	7	3	1	6	3	4	0	3	0	6	
Plant ontogeny: age of maturity (first flowering)	155	21	17	21	5	3	24	10	19	0	17	0	8	
Plant palatability	679	10	5	5	4	0	5	0	0	6	0	4	3	
Plant propagation type	609	19	10	10	10	0	11	1	1	9	1	9	11	
Plant reproductive phenology timing (flowering time)	335	73	64	98	40	19	46	47	38	4	54	6	43	
Plant resprouting capacity	819	2	2	13	5	0	1	1	0	2	1	4	1	
Plant species use for bioremediation	3371	1	0	0	0	0	1	0	0	0	0	0	0	
Plant time until death	3090	1	1	0	0	1	0	0	0	0	0	0	0	
Plant vegetative phenology (leaf phenology)	1251	5	2	2	2	0	2	0	0	2	1	2	2	
Plant vegetative regeneration capacity	344	6	5	8	4	0	6	6	4	1	5	0	5	
Plant vegetative regeneration species offspring size relative to parent	1008	13	7	12	1	5	34	4	11	0	23	0	9	
Plant vegetative reproduction: clonal growth organ	356	4	2	2	0	0	1	1	2	0	5	0	1	
Plant vegetative reproduction: clonality of ramets	329	1	1	2	1	0	3	1	1	0	1	1	4	
Plant vegetative reproduction: distance between ramets	149	1	2	3	3	0	2	0	0	0	2	0	0	
Plant vegetative reproduction: lateral spread	334	18	7	12	2	5	34	4	11	0	24	0	9	
Plant vegetative reproduction: pattern forming	1206	1	0	1	1	0	2	1	1	0	1	0	0	
Plant vegetative reproduction: persistence of connection between clonal growth organs	358	14	6	12	1	4	34	3	12	0	23	0	9	
Plant vegetative reproduction: role of clonal growth organ in plant growth	357	16	7	12	1	5	34	4	12	0	23	0	9	
Plant vegetative reproduction: spread rate	613	2	1	1	1	0	1	0	0	1	0	0	1	
Plant woodiness	38	74	48	115	35	9	89	10	18	12	18	16	29	
Pollen diameter	1042	2	2	2	3	0	0	1	0	0	2	0	0	
Pollination syndrome	29	19	16	14	11	10	7	18	22	0	29	0	15	
Reproductive organ nitrogen (N) content per reproductive structures dry mass	684	1	1	1	0	0	0	0	1	0	0	0	0	
Root calcium (Ca) content per root dry mass	1054	60	0	121	0	0	0	35	0	0	0	0	0	
Root carbon (C) content per root dry mass	84	85	9	143	0	0	5	49	4	0	1	0	0	
Root carbon/nitrogen (C/N) ratio	1055	76	5	105	0	0	5	47	4	0	1	0	0	
Root diameter	83	12	10	62	0	0	1	7	6	0	0	0	0	
Root dry mass per root fresh mass (root dry matter content; RDMC)	785	80	5	102	0	0	0	47	0	0	0	0	0	
Root dry mass per root volume (root density, root tissue density)	116	1	1	0	0	0	0	0	0	0	0	0	0	
Root dry mass per soil layer	3029	20	20	20	0	0	0	16	20	0	0	0	0	
Root dry mass per soil volume	1494	4	4	4	0	0	0	2	0	0	0	0	0	
Root evenness of dry mass vertical distribution	3033	5	5	5	0	0	0	4	5	0	0	0	0	
Root evenness of length vertical distribution	3035	5	5	5	0	0	0	4	5	0	0	0	0	
Root evenness of surface area vertical distribution	3034	5	5	5	0	0	0	4	5	0	0	0	0	
Root length	1079	5	5	6	0	0	0	4	5	0	0	0	0	
Root length fraction in respective root diameter class (e.g. fine root length per total root length;	1489	1	1	1	0	0	1	1	1	0	0	0	0	
Root length per root dry mass (specific root length, SRL)	1080	13	11	61	0	1	1	7	6	0	0	0	0	
Root length per soil layer	3030	20	20	20	0	0	0	16	20	0	0	0	0	
Root length per soil volume	1508	4	4	49	0	0	0	2	0	0	0	0	0	
Root lignin content per root dry mass	88	4	4	11	0	0	1	2	0	0	0	0	0	
Root magnesium (Mg) content per root dry mass	1081	60	0	121	0	0	0	35	0	0	0	0	0	
Root morphological adaptations: aerenchyma	815	1	1	1	0	0	1	2	1	0	1	0	1	
Root nitrogen (N) content per root dry mass	80	99	11	144	0	1	7	49	5	0	1	0	0	
Root nitrogen (N) isotope signature (delta 15N)	81	13	0	7	0	0	0	0	0	0	0	0	0	
Root nitrogen (N) uptake rate	462	3	5	5	0	0	0	2	4	0	0	0	0	
Root phosphorus (P) content per root dry mass	683	60	0	121	0	0	6	35	1	0	0	0	0	
Root position along clonal growth organ	1093	13	7	12	1	5	33	4	11	0	23	0	9	
Root potassium (K) content per root dry mass	1086	60	0	121	0	0	0	35	0	0	0	0	0	
Root respiration rate per root dry mass	514	11	0	0	0	3	0	0	0	0	0	0	0	
Root root hair presence	1076	2	0	2	0	0	0	0	0	0	0	0	2	
Root rooting depth	6	9	1	7	2	0	8	1	0	1	4	1	1	
Root sugar content per root dry mass	662	3	0	0	0	0	0	0	0	0	0	0	0	
Root surface area per root dry mass (specific root area)	1089	6	6	11	0	0	1	5	6	0	0	0	0	
Root surface area per soil layer	3031	20	20	20	0	0	0	16	20	0	0	0	0	
